observation_id,rxte_obsid,source_id,canonical_source,raw_source_name,class_label,observation_time,exposure,source_count_rate,background_count_rate,net_count_rate,passes_quality_cut,usable,exclusion_reason,errors_available,provenance_id,provenance_path,provenance_sha256,representation,pcus,deadtime_status,grid_id,spectrum_00,spectrum_01,spectrum_02,spectrum_03,spectrum_04,spectrum_05,spectrum_06,spectrum_07,spectrum_08,spectrum_09,spectrum_10,spectrum_11,spectrum_12,spectrum_13,spectrum_14,spectrum_15,spectrum_16,spectrum_17,spectrum_18,spectrum_19,spectrum_20,spectrum_21,spectrum_22,spectrum_23,spectrum_24,spectrum_25,spectrum_26,spectrum_27,spectrum_28,spectrum_29,spectrum_30,spectrum_31,spectrum_32,spectrum_33,spectrum_34,spectrum_35,spectrum_36,spectrum_37,spectrum_38,spectrum_39,spectrum_40,spectrum_41,spectrum_42,error_00,error_01,error_02,error_03,error_04,error_05,error_06,error_07,error_08,error_09,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42
10093-01-01-01,10093-01-01-01,4u_1608_522,4U 1608-522,4U_1608-522,NS,1996-03-15T19:28:16,1791.99999999985,47.43450232932926,10.350595230928688,37.08390709840057,True,True,,True,10093-01-01-01,data/provenance/rxte_processing/10093-01-01-01.json,65490a65ddfaf30cd9df53dd33d3fcb08ba4db71cd2564a44aafb1dc7bf4f1a0,PCA_OGIP_RATE43_OVERLAP_V1,0|1|2|3|4,NOT_CORRECTED,2b1a4d42c88ddc69243eda93a56a3ef6450cf867f748ebfc28244795b93cf70f,4.485955874358428,3.9481798493543763,3.4061082967312775,3.0386173223963593,2.725844899663154,2.406803155705611,2.1119185117961843,1.819166172441582,1.5549090525943523,1.3568894394642244,1.1896154105080816,1.0351872253241583,0.9096036263331786,0.8194992124172262,0.7287996003397841,0.651914443523573,0.573932847798015,0.4980280624411601,0.43194945368874726,0.4015759486823204,0.34697615516357905,0.3157087694734012,0.28031897870111017,0.24645358520312632,0.2262738927863244,0.17954093614663916,0.16787592075862745,0.15523693588602328,0.1387321298800109,0.12357458452145431,0.11357167618916286,0.09739563765451803,0.09249616050549472,0.08378560764068656,0.07401499879072466,0.0632567215160508,0.05388721037846923,0.050905675575337976,0.04626133095121945,0.038177590773710475,0.03258458548762058,0.0318499127270077,0.03052969612848124,0.021008167366874678,0.02047674644761822,0.02003137255491464,0.018407147807698775,0.01654407798723079,0.016205656374083652,0.01633528920149698,0.01500587103602825,0.013163181130136089,0.012834954706066031,0.012797476135722937,0.011745907785945798,0.010592700603287406,0.010726667721294972,0.01067898940282422,0.009783391500999281,0.009194799066545883,0.009595176190414438,0.009333890891027092,0.008441461075548835,0.007128655648019787,0.006013910570112346,0.006115146024461621,0.00676157846491904,0.007869451552366598,0.00775608344235765,0.006654750069459276,0.005749308486648982,0.005368709264551802,0.005615182353622507,0.006342418477666645,0.006916818870658908,0.006426534377813417,0.005280600003174047,0.004648875634146035,0.004634145831361637,0.005184812665951823,0.006177721292718541,0.0062052575494657486,0.0051635797979043266,0.004518048049073065,0.004495104458924675,0.005157872381138396
10095-01-01-00,10095-01-01-00,4u_0614_09,4U 0614+09,4U0614+091,NS,1996-04-22T19:19:28,9359.99999999819,48.27136200307413,9.661638457806427,38.60972354526769,True,True,,True,10095-01-01-00,data/provenance/rxte_processing/10095-01-01-00.json,a13a8f829b9055f68064d776e40855944f507539934d6988174519d23d41cbe7,PCA_OGIP_RATE43_OVERLAP_V1,0|1|2|3,NOT_CORRECTED,206be9b73c643bfce9e81126c20e590e878559b17ffe2e462a60eb58cd11edd8,4.640756972081423,3.9190932680444766,3.4350695242817446,3.0414702495476926,2.6337689775746203,2.331238754967533,2.048868233160022,1.7938357973891943,1.5603252176955014,1.3997995359806197,1.2469172647921307,1.0927306155424024,0.9849526602918882,0.8899461396041874,0.7913497938981955,0.705040888960389,0.6306208615390857,0.5687485431866679,0.5166235068575298,0.4559174763884609,0.4181892053060793,0.3722863965980875,0.33217516629088784,0.3025390538663628,0.27281747764951503,0.24581195450721494,0.2225503167151834,0.2036346353777912,0.18868588465765154,0.17302676936939632,0.15796668563496305,0.13949049142802603,0.12324925477240861,0.11373732873059159,0.1060675598113658,0.09300519307888284,0.0876820140981155,0.07795366397225507,0.06810576042405148,0.06318668998656099,0.05653719107136644,0.05379530485873453,0.050155265278442586,0.010898572078400282,0.009240504655677521,0.008403749094683919,0.008923940102615921,0.008384794961388461,0.007084825003356561,0.0070249438569548765,0.007130513960382625,0.006347100860400858,0.005634496441265727,0.005906404544514676,0.005836634767500895,0.005088613701942485,0.004759227502899191,0.005177161069111853,0.005066602695310422,0.00432167360859829,0.004201984998539154,0.0046346888679296054,0.004455795359323716,0.0038088799133502577,0.003711593529540465,0.004085374025826313,0.00398935241300523,0.0034853078535905654,0.0034977818904210816,0.003942306199491577,0.0038841734451162233,0.003317878453443718,0.003171848064851133,0.0034401745400741246,0.0033264739078445373,0.0027930508049063803,0.0019605135588032304,0.0027329479872435524,0.0025103480082657634,0.0020201341548985495,0.0026269984861884816,0.0019685051501541046,0.0024558886136506765,0.0026587757193511784,0.0019154385692817513,0.0027235525648923735
10410-01-01-00,10410-01-01-00,4u_1728_34,4U 1728-34,4U1728-34,NS,1996-05-03T13:58:08,256.0,309.5540939566427,9.655205571296142,299.8988883853466,True,True,,True,10410-01-01-00,data/provenance/rxte_processing/10410-01-01-00.json,b33d36f1fa9927ce60d76a1ff6ff84a6dbdc46a37c392b404cdb89d98a8455e2,PCA_OGIP_RATE43_OVERLAP_V1,0|1|2|3|4,NOT_CORRECTED,50008731cce7697a0a2694f8062654f69a13f5bed802b67486c79681bff8f1f8,34.77202259841316,31.135976310785843,28.39363252030674,26.000330103915644,22.99827330170901,20.258504449564583,17.69035313106533,15.677788261316422,13.591222865371678,12.159705388042795,10.742749786729963,9.322489695303734,8.211128254024525,7.172246040803055,6.123717148649185,5.235450020580743,4.542779711364277,3.9891952911818236,3.408127216877334,2.7680811562366396,2.420989833729677,2.099831759521753,1.7834669743668996,1.483183863420331,1.2880452468726171,1.0903191033818516,0.9082117300477989,0.7512044565733565,0.6538395918408308,0.5613428069513362,0.5278733351326604,0.37413514497694517,0.3084079519958471,0.28161300490210717,0.2605357527047743,0.16271757138117046,0.15564393090354925,0.1538733781747604,0.13568438077211514,0.1237616001693423,0.06915623627306468,0.060935407994173296,0.05034207101717795,0.15041010461688023,0.1313041077946303,0.12195217904527514,0.13079045573203038,0.12297980107557371,0.1025126319749981,0.10016826880903898,0.10165364178415798,0.08967445015545894,0.07915885133363924,0.08189824719206139,0.0796225986996707,0.06788245762479933,0.06174989248434699,0.06488845435257604,0.061607058497285414,0.05053767752988259,0.04753551481683635,0.049887937815608324,0.04563430390661683,0.0378598622149612,0.03593033261549244,0.03781340532968559,0.03509708155910598,0.029538779341941396,0.028123310795170595,0.029891441973875846,0.028143842814621064,0.0234440887295789,0.0219480079332048,0.024212362613920707,0.021902690708819894,0.01783807857472557,0.012389493966240395,0.017119603946378,0.014642269470770585,0.011692987590324964,0.015523167496097943,0.011630476170652652,0.014328025618699154,0.014809156888370272,0.01058043385863745,0.014905450733432806
10416-01-01-00,10416-01-01-00,ks_1731_260,KS 1731-260,KS1731-260,NS,1996-07-14T02:27:12,9247.99999999814,311.4079182609494,9.96250951555457,301.44540874539484,True,True,,True,10416-01-01-00,data/provenance/rxte_processing/10416-01-01-00.json,fad333bea5365e5fd4c0edd201096c04d3742f82bb7bcd175812afafd204d332,PCA_OGIP_RATE43_OVERLAP_V1,0|1|2|3|4,NOT_CORRECTED,d33fc9eeb85897b3d7828d69728a6392f65e823b67cd03c0cd59497781c67cda,41.01613914443954,35.27197169091848,31.13825004663513,27.56675939431891,23.750928457649653,20.662947430686962,17.932905568442038,15.410790683558544,13.226703082313552,11.455899301914512,9.91129713066307,8.326367957281105,7.175829574991155,6.164259983056882,5.243381723154551,4.379100268971616,3.734691799025219,3.1738928647494844,2.6811465694855525,2.2184755087140666,1.8773495185536868,1.5827840322775837,1.3027323422685113,1.0790053304186453,0.9040295991194702,0.7556682436410571,0.6273734486877013,0.5156577155387281,0.4304663173153911,0.36079950856129783,0.3023854613536653,0.23918151018913775,0.19806508664356276,0.1680912637416599,0.1480797160338687,0.10781479247169633,0.09681512495667144,0.07867697338562321,0.06619988111724555,0.05913678174613259,0.03838330259947045,0.034533285337715235,0.030441328466307697,0.027210602197368657,0.023142753492514778,0.02128564195222922,0.022318932872670356,0.020610934971623092,0.017192089893715685,0.016934412101512183,0.016777931927669378,0.014605744231383336,0.012827717740924355,0.013312126172767736,0.012633779059111215,0.01051647887377492,0.009640371286359768,0.010070190532085401,0.0093412888588697,0.007654660863713931,0.007230337786834209,0.007466161891435073,0.006787487783441741,0.005643695228183188,0.005422720095470273,0.0055583473909402645,0.0050908259974282374,0.004316903080604924,0.004228293399766384,0.0044442186433922655,0.004112824797964275,0.0034613848705093344,0.0033275504834169747,0.003541368636905748,0.003260061451429601,0.002742030575566223,0.001908003115400305,0.0026024627184338973,0.002441326189349225,0.0018130349349042237,0.0024164065865291727,0.0018818723330066968,0.0021489055381033514,0.0024091715009582496,0.001719568608324298,0.0024548124946292362
10416-01-03-00,10416-01-03-00,ks_1731_260,KS 1731-260,KS1731-260,NS,1996-08-31T17:39:44,3055.99999999972,227.7000268566017,11.585960834184176,216.11406602241757,True,True,,True,10416-01-03-00,data/provenance/rxte_processing/10416-01-03-00.json,2f9ae76db8459fa8eebd7761dfd5251da0f09e7945d43bd3d986d40d207c0ae6,PCA_OGIP_RATE43_OVERLAP_V1,0|1|2,NOT_CORRECTED,153a69f33a0ea57a994a92c5c332a466959dcb1404d81893acb993a94c547da5,30.93377895911081,26.194705978207047,22.969686057350103,20.080102609192767,17.164086294921876,14.77378272929278,12.625991829024496,10.746004801204279,9.121209950073753,7.889002443736009,6.759945713598891,5.678670842021371,4.895009188020213,4.162512624961545,3.5637174487023766,2.9375814352401974,2.515268224481999,2.142216939203541,1.8120483180047944,1.4781976149162035,1.2528872284020585,1.0608831187384284,0.8793684442943184,0.725343210716129,0.6142146452151493,0.5109625582434025,0.424915240845162,0.3694869724091006,0.3090885862567134,0.2611686031498417,0.2171062191925009,0.16672043284729043,0.14646020449589253,0.12260531113671236,0.10823999286547824,0.0943248859398605,0.08201676700498012,0.06272416930361963,0.05615443779688302,0.05374030462841674,0.05120285196838938,0.05070080590923238,0.050231029792929364,0.0534290360316924,0.04490155837539332,0.041389682310103655,0.042944164524683394,0.03939374458126804,0.03290345302778631,0.03243079182768175,0.03187427191915024,0.027398139649558437,0.02427928002538655,0.025318183731068165,0.023952636669580227,0.019804997559285196,0.0183030504909895,0.019113407119493445,0.017483260240175238,0.014562495715164287,0.014051710328749488,0.014451284255262483,0.013000946358316334,0.010989230555705647,0.010802631664139415,0.011090690453401575,0.010074627029722796,0.00879756595204797,0.008890979219316506,0.009353066912397748,0.00875976869873494,0.00756212907985073,0.007451126278609357,0.0077958355973490245,0.007028323406789255,0.006195698660864996,0.004407252819108449,0.0059337608426033245,0.005904090504765983,0.004238288562651248,0.005724111929048386,0.004621950730050516,0.005015601511923127,0.006012177106960463,0.004341529461322933,0.00624326240073489
10420-01-01-00,10420-01-01-00,gx_339_4,GX 339-4,GX339-4,BH,1996-07-26T18:20:32,5199.99999999906,125.18860724335937,9.834128659285325,115.35447858407402,True,True,,True,10420-01-01-00,data/provenance/rxte_processing/10420-01-01-00.json,7b1641088162c5bc0b16c44eb1340bff8c2170943f16f4bc1c3c2ee0a6cc46c5,PCA_OGIP_RATE43_OVERLAP_V1,0|1|2|3|4,NOT_CORRECTED,822861d489eac2cd21f7ebd6dac5ea7e40f1fada335f8822b772c8b785b1ed6d,9.96735870281796,9.039039865762417,8.410953829063441,7.759732417342436,7.000017658065833,6.3334577452025,5.802365727943981,5.236831456041047,4.78933038506588,4.408365866916437,4.061337602819948,3.708300963708708,3.4178369326215163,3.1530576558441568,2.8937465213679214,2.641779949143303,2.4344205228473275,2.226071845083037,2.055123270741321,1.8594406377119226,1.7186342299730186,1.5702984335903027,1.4372020933803866,1.3109777250399972,1.2176640748582348,1.113650489278206,1.029399630492334,0.9327145946374351,0.8618117372265128,0.8024548893234846,0.7436305740579371,0.6670939920561105,0.6116489673769422,0.5683864042601933,0.5402938416780115,0.4794146084428795,0.45880420943514355,0.42463646032640245,0.38151693710965906,0.3616608838497913,0.32419943692852926,0.3081624508996741,0.291652363741749,0.01840202633669922,0.01599182524108727,0.015172247368157126,0.01622734853216597,0.015284841170854964,0.013073646597503942,0.013325299407793473,0.013454426663635976,0.012030542362893352,0.010959861032847996,0.01179599248774804,0.011579138722026656,0.009935391791961963,0.009512216233387449,0.010311695781131195,0.009875340949309329,0.008443567523788475,0.008328744898253668,0.008918897103427196,0.008340345067211288,0.0072367603375138355,0.0072417238633078205,0.007703137146316137,0.007213221995619033,0.006361948055265524,0.006434714933303671,0.006921383911452128,0.006484412835098117,0.005617687385863271,0.005578553245795193,0.006029032205714523,0.0056087481122673415,0.004804616790285437,0.0033752864091297426,0.004610658597378092,0.004388685409057027,0.003220932433114324,0.00429665070517105,0.003291845716361527,0.003698724600859296,0.004119258039304281,0.0029056077537031764,0.004097512865101879
20053-04-01-01,20053-04-01-01,cyg_x_2,Cyg X-2,CYG_X-2,NS,1997-07-01T14:00:48,7759.99999999848,513.7405309082706,10.265064867525517,503.47546604074506,True,True,,True,20053-04-01-01,data/provenance/rxte_processing/20053-04-01-01.json,67ef4d26898ae91fe549de193f5ed000abc9ac44f01bd1b59eefea59f45b935d,PCA_OGIP_RATE43_OVERLAP_V1,0|1|2|3|4,NOT_CORRECTED,6c02fb94c2ab8c2248b117e358c0198510a14d0ea4492ae4d67d84bd7fcfb528,75.37287014737987,63.818943220862934,55.43975023269766,47.89475335210886,40.69476800082329,34.60156934959144,29.39348180672049,24.374781264516074,20.687883773703014,17.633991674195297,14.855493892699727,12.396900527168752,10.569371292245803,8.984288880272679,7.496818509461131,6.294482983484097,5.356516655836275,4.546947886604888,3.7564026768914105,3.1526386571307867,2.6746170391692328,2.256656783455741,1.838147982464028,1.5583205792323835,1.3136637917667726,1.1060114997217654,0.9078331088012354,0.7610399550541056,0.6408067057550211,0.5510661936944095,0.45108133619039925,0.36637775157803876,0.3262911393703625,0.2611694159982537,0.2334449371615812,0.18526061677158912,0.15948303472373448,0.14005546097308463,0.10761868930874453,0.09791789587305097,0.08186304322541016,0.07011556782750777,0.0639687282341363,0.040594265354219845,0.03325014292130488,0.03162425889674409,0.03178084639915484,0.02809680117574667,0.024137565921119725,0.024780070444237946,0.023275072088424293,0.019072078191986835,0.01770871414203875,0.01791313931630833,0.01607013259430555,0.013456808852651896,0.013276901183364775,0.012958105560442112,0.011130793793815529,0.009754151434111142,0.010052240727435312,0.009564559019620287,0.007928135024484941,0.007185853783918664,0.00758615315437329,0.007104587220353656,0.005831338579145056,0.005455735905844644,0.00583953756538925,0.005507615096895059,0.004555805001438902,0.004288327460169185,0.004611939367485094,0.004341587777442886,0.003291232152779229,0.0033587593139372306,0.0025840564173474677,0.002618850455091443,0.0029742092980417204,0.0020695390714680446,0.002854308142057326,0.0026571173209049242,0.002067129333111249,0.002780969341459282,0.0021659707406854927,0.002560060595202398
20084-01-01-00,20084-01-01-00,4u_1735_444,4U 1735-444,4U_1735-44,NS,1997-08-01T13:24:32,3983.99999999934,218.8007447108159,11.271514351056243,207.52923035975968,True,True,,True,20084-01-01-00,data/provenance/rxte_processing/20084-01-01-00.json,82b06eec9115ab3239c3218afedfa82972d272a790fedb98e1f9d4b1f4dc0e1d,PCA_OGIP_RATE43_OVERLAP_V1,0|1|2|3|4,NOT_CORRECTED,0a8d8222f78a42900fdd103778f592c96967263c71711d631455c9b62dba2236,23.748575136271917,20.989131056258945,19.132499582262966,17.44881193557172,15.631886868848209,13.989819957165084,12.493435506508117,10.908631051776128,9.666572939702672,8.630004837259685,7.580982878221947,6.576116562550721,5.784798419277504,5.103102199214861,4.367428734128718,3.780454186487031,3.2711036516805354,2.822670886496329,2.3813359504719416,2.0585548507141995,1.782492082814315,1.528412572294337,1.2621299819495988,1.0774827898747747,0.919720294951414,0.7771132433464049,0.6479500407506482,0.5490875217492236,0.47126253079169406,0.3943857923822093,0.32369916832797296,0.26653076020420075,0.23342533003491253,0.18622060607287913,0.16667774863883986,0.13275357722146425,0.11004694553521369,0.09417533787963295,0.07013989101223943,0.060876427713278586,0.04534533204403772,0.034237037827572814,0.029148155473578404,0.03227021987589106,0.02688525559143417,0.026379245183888938,0.027137875801899775,0.02447787804701406,0.021776421628618346,0.02310669599336735,0.0220974644707943,0.01842459406659647,0.01768623396036323,0.018188748692316525,0.01651957292869647,0.014177122641149426,0.014404102887734976,0.01414857385111015,0.012272693473543872,0.010979032441469513,0.01154603801575686,0.011053705961772096,0.009239150121657387,0.008581195686329153,0.009158019594200904,0.00860361460566136,0.007137343188464034,0.006844332903952761,0.007346260569663162,0.006951911990458985,0.005848954178819624,0.00565138365005931,0.006012123841612254,0.005642042134704335,0.004330724205181761,0.00449536388570921,0.003564563397637743,0.003510089929524825,0.004111347849014555,0.002887968568942181,0.003976973646223984,0.0038282465232441013,0.0028966752376717465,0.003967496076005427,0.0031609491507979034,0.003607168528934085
20084-01-02-03,20084-01-02-03,4u_1735_444,4U 1735-444,4U_1735-44,NS,1997-09-01T08:53:20,8223.99999999837,296.5177812683054,10.051188203921232,286.46659306438414,True,True,,True,20084-01-02-03,data/provenance/rxte_processing/20084-01-02-03.json,611dcd66fb418b33a60845a6c99fb7e0fb4512f692b86718c0a512fd236d0a7d,PCA_OGIP_RATE43_OVERLAP_V1,0|1|2|3|4,NOT_CORRECTED,b39fbc440fa6e6c4664f3676eaab7f3d4870149d48656e773be3c9c0408ae4e7,31.558093700358224,28.389015362219006,26.1102998298006,23.982661875338646,21.68598403647229,19.498358780146333,17.438545595067126,15.25868151147336,13.589674235352323,12.113676142817297,10.613676706719131,9.21140887244794,8.101723195056596,7.133888268892143,6.111920999675049,5.277680762513976,4.5836162062445,3.9548824431784575,3.348664842653049,2.8781036113373473,2.4531015216940597,2.1020101139610574,1.774588514893991,1.5099664125649626,1.2832631988416034,1.0885989170795871,0.8962576157235739,0.7594672684259245,0.6456886577970364,0.5411846668375155,0.45454170051134724,0.37260587578612425,0.32942711340082625,0.26320519671467646,0.23661567480661994,0.19079766949607144,0.161711631580228,0.14287375761375457,0.11194702464916427,0.10034414190461974,0.08150155605542429,0.06677582776980714,0.05956202851282591,0.02570645637701896,0.02160011443917405,0.021390679168873137,0.02199733808297894,0.01984941773555099,0.01776180429214864,0.01892192269416808,0.01804527998652219,0.015017046724805767,0.014480512845096868,0.014794690917960873,0.013353212627732609,0.011501852969013859,0.011732748616329659,0.011460435002215788,0.009835613051090639,0.00885320875939294,0.009334343606351204,0.008870132556306465,0.007320022171355716,0.006776527931349432,0.007142488144371464,0.006678951822445034,0.00553181247777565,0.0053047219333528595,0.005600130818672485,0.0051875288556951305,0.004364640212917557,0.004215488272419968,0.004412404766746326,0.0040958798245553365,0.003107488398077505,0.0032525799552057463,0.0025780802531971967,0.0024576491517072836,0.002883530520914354,0.0020207242943783856,0.0027563772523188593,0.002667796029558879,0.0019531897816539956,0.0026678267380039807,0.0021393882419394367,0.0023506099519709058
20084-02-01-00,20084-02-01-00,4u_1702_429,4U 1702-429,4U_1702-429,NS,1997-07-19T16:44:32,5711.99999999902,95.85224167985251,12.800390699684312,83.0518509801682,True,True,,True,20084-02-01-00,data/provenance/rxte_processing/20084-02-01-00.json,2f0f2e2c5738e5ba8c5beae9e6ad98861f63f5d632534336d756d00a5ec9b1d4,PCA_OGIP_RATE43_OVERLAP_V1,0|1|2|3,NOT_CORRECTED,7af003d30e5a0006d68fcfade1ccbc279683131d7c7c6c391a582fc4baf00959,10.048502443003816,8.92009930822517,8.119671104337709,7.375965543382041,6.5173190756319315,5.760873983702533,5.088490097176027,4.357963412221762,3.813107701696545,3.3560094294927643,2.892341433271945,2.482635293180197,2.1539165699744647,1.8556086895283812,1.5903043326024768,1.346089373448959,1.1684119753345494,0.9857443137101061,0.8221233541488863,0.7072242299468317,0.5974796286225164,0.5029309567076109,0.41107548592168985,0.35449987655628856,0.2988084839593414,0.25674159761236687,0.2156985668559607,0.1855881997394519,0.15212586317520732,0.127364951705898,0.10486191539490586,0.08151461312376367,0.07468246238826494,0.0595545781769494,0.053524241807842265,0.04379115728309881,0.035753920025690694,0.029955164372080997,0.027314772510718465,0.02459305935274622,0.01968220772454822,0.016676368388663855,0.01523124474550327,0.02023877373344874,0.01686916934835162,0.016503463661071135,0.016978745549881803,0.015287032653291508,0.01356488685993039,0.014378366229942863,0.013706987890372543,0.01139947270455721,0.010865205343552257,0.011159827212491948,0.010173107580544136,0.008735578345201707,0.008820246656361311,0.008788829973895226,0.007648781996398813,0.006933709092776139,0.0073312615374617005,0.007139049965389638,0.006089886634041855,0.005694150839399437,0.006171354324307294,0.005909411671427768,0.0050195746119882385,0.004934138208667639,0.005491708399812659,0.005357394865177372,0.0046459134225802605,0.004557149957242729,0.004942087526399999,0.00471940582482348,0.0036643032457917986,0.0038577015575967603,0.0031190018112888986,0.003121065975045904,0.003734852712098377,0.002653824044350945,0.0036892110741971076,0.0035871453179528675,0.0027612141259487446,0.0038269874126398815,0.0030719709505136355,0.003566938357002601
